timestamp,income
1605684099,0
1605684102,0
1605684105,0
1605684108,0
1605684111,0
1605684114,0
1605684117,0
1605684120,0
1605684123,0
1605684126,0
1605684129,0
1605684132,0
1605684135,0
1605684138,0
1605684141,0
1605684144,0
1605684147,0
1605684150,0
1605684153,0
1605684156,0
1605684159,0
1605684162,0
1605684165,0
1605684168,0
1605684171,0
1605684174,0
1605684177,0
1605684180,0
1605684183,-6
1605684186,-7
1605684189,-7
1605684192,-11
1605684195,-2
1605684198,-2
1605684201,-2
1605684204,-2
1605684207,-1
1605684210,-4
1605684213,-4
1605684216,-4
1605684219,-4
1605684222,-4
1605684225,-4
1605684228,-4
1605684231,-4
1605684234,-4
1605684237,-4
1605684240,-4
1605684243,-4
1605684247,-4
1605684250,-4
1605684253,-4
1605684256,-4
1605684259,-4
1605684262,-4
1605684265,-4
1605684268,-4
1605684271,-4
1605684274,-4
1605684277,-4
1605684280,-4
1605684283,-4
1605684286,-4
1605684289,-4
1605684292,-4
1605684295,-4
1605684298,-4
1605684301,-4
1605684304,-4
1605684307,-4
1605684310,-4
1605684313,-4
1605684316,-4
1605684319,-6
1605684322,-4
1605684325,2
1605684328,2
1605684331,-4
1605684334,-4
1605684337,4
1605684340,-4
1605684343,-4
1605684346,-4
1605684349,-4
1605684352,8
1605684355,5
1605684358,3
1605684361,5
1605684364,8
1605684367,2
1605684371,0
1605684374,0
1605684377,-2
1605684380,-2
1605684383,-12
1605684386,-30
1605684389,-30
1605684392,-23
1605684395,-17
1605684398,-20
1605684401,-18
1605684404,-11
1605684407,-8
1605684410,-8
1605684413,-13
1605684416,-18
1605684419,-18
1605684422,-20
1605684425,-32
1605684428,-32
1605684431,-32
1605684434,-32
1605684437,-32
